config_label,wavelength_nm,fpr_length_um,array_pitch_um,output_pitch_um,output_offset_um,dominant_output,dominant_fraction,second_to_first,quality,source_type,coarse_score,out_1,out_2,out_3,out_4
coarse_100,1550.8,50.0,1.25,1.45,0.45,2,0.3121367648876865,0.8337111620539754,passing,coarse_local,0.15623611904192014,4.504845363434676,5.988468709746446,4.9926532069265805,3.69943278611399
coarse_100,1552.4,50.0,1.25,1.45,0.45,2,0.428427915997529,0.67892021200998,general,coarse_local,0.15623611904192014,1.4182077906270933,3.6175806852557795,2.4560486457970625,0.9520120071351073
coarse_101,1547.6,50.0,1.25,1.45,0.5,2,0.25026549962635786,0.9998614127827586,poor,coarse_local,0.15973260569854675,7.878460677853705,7.894268177591146,7.8931741329322564,7.877670494093123
coarse_101,1549.2,50.0,1.25,1.45,0.5,2,0.25991684835528295,0.9762173988618577,poor,coarse_local,0.15973260569854675,7.845416332178485,8.036546307538893,7.65062562107808,7.387093777491099
coarse_101,1550.8,50.0,1.25,1.45,0.5,2,0.31273229247684214,0.8227058440280892,passing,coarse_local,0.15973260569854675,4.569690428104498,5.997294906791757,4.934009568177474,3.676093779687929
coarse_101,1552.4,50.0,1.25,1.45,0.5,2,0.43176458542204726,0.6521677188317276,general,coarse_local,0.15973260569854675,1.4886631162441248,3.646846298118886,2.3783554311741244,0.9325117709102647
coarse_102,1547.6,50.0,1.25,1.45,0.55,2,0.25027910937538755,0.9997440158115392,poor,coarse_local,0.16282420157867045,7.878906517539026,7.894694965062625,7.892674047978847,7.877287912509606
coarse_102,1549.2,50.0,1.25,1.45,0.55,2,0.25976014783706725,0.9791279352610428,poor,coarse_local,0.16282420157867045,7.86189128372402,8.029483176402255,7.636540799969985,7.383228128375682
coarse_102,1550.8,50.0,1.25,1.45,0.55,2,0.31314637773771786,0.8122897273346193,passing,coarse_local,0.16282420157867045,4.635517716397721,6.00216616206634,4.8754979152019455,3.654104142796515
coarse_102,1552.4,50.0,1.25,1.45,0.55,2,0.43441476884126723,0.6270311473135838,general,coarse_local,0.16282420157867045,1.5623463937218478,3.670094549632732,2.3012635962055423,0.914660508944397
coarse_103,1547.6,50.0,1.25,1.45,0.6,2,0.25029197133776165,0.9996276635832452,poor,coarse_local,0.16551693735536213,7.87936883380387,7.895095331695058,7.892155700189316,7.876922220369554
coarse_103,1549.2,50.0,1.25,1.45,0.6,2,0.2595815044348279,0.9821066327114267,poor,coarse_local,0.16551693735536213,7.8780588985672315,8.021592193932417,7.622737814518678,7.379628597647016
coarse_103,1550.8,50.0,1.25,1.45,0.6,2,0.3133808066120858,0.8024634600737756,passing,coarse_local,0.16551693735536213,4.702134020520645,6.003097116796813,4.817266083503676,3.6334210426341818
coarse_103,1552.4,50.0,1.25,1.45,0.6,2,0.4363758207122656,0.6034364780660917,general,coarse_local,0.16551693735536213,1.6390765981976085,3.6872530466067333,2.2250229921828337,0.8983663244994825
coarse_104,1547.6,50.0,1.25,1.45,0.65,2,0.25030403645022925,0.9995127997175212,poor,coarse_local,0.16770278751406958,7.879847185079179,7.895467688967232,7.891621014878864,7.876573360623629
